,ngram_1,ngram_2,ngram_3,ngram_4,ngram_5,ngram_6,ngram_7,ngram_8,Normalized_LCS,is_plagiarized
0,0.39814814814814814,0.07906976744186046,0.009345794392523364,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0
1,0.9949238578680203,0.9744897959183674,0.9487179487179487,0.9226804123711341,0.8963730569948186,0.8697916666666666,0.8429319371727748,0.8157894736842105,0.7864077669902912,1
2,0.8693693693693694,0.7194570135746606,0.6136363636363636,0.5159817351598174,0.44954128440366975,0.3824884792626728,0.3194444444444444,0.2651162790697674,0.7455357142857143,1
3,0.5935828877005348,0.26881720430107525,0.15675675675675677,0.10869565217391304,0.08196721311475409,0.06043956043956044,0.04419889502762431,0.027777777777777776,0.26424870466321243,1
4,0.5445026178010471,0.11578947368421053,0.031746031746031744,0.005319148936170213,0.0,0.0,0.0,0.0,0.21081081081081082,0
5,0.32950191570881227,0.05384615384615385,0.007722007722007722,0.003875968992248062,0.0,0.0,0.0,0.0,0.14184397163120568,0
6,0.5903083700440529,0.1504424778761062,0.035555555555555556,0.004464285714285714,0.0,0.0,0.0,0.0,0.264,0
7,0.7653061224489796,0.7098976109215017,0.6643835616438356,0.6254295532646048,0.5896551724137931,0.5536332179930796,0.5208333333333334,0.4878048780487805,0.5934426229508196,1
8,0.7597765363128491,0.5056179775280899,0.3954802259887006,0.3068181818181818,0.24571428571428572,0.19540229885057472,0.15028901734104047,0.11046511627906977,0.419811320754717,1
9,0.8844444444444445,0.5267857142857143,0.34080717488789236,0.24774774774774774,0.18099547511312217,0.15,0.1187214611872146,0.09174311926605505,0.51931330472103,1
10,0.6190476190476191,0.25,0.11229946524064172,0.07526881720430108,0.043243243243243246,0.021739130434782608,0.01092896174863388,0.005494505494505495,0.35714285714285715,1
11,0.5161290322580645,0.07027027027027027,0.0,0.0,0.0,0.0,0.0,0.0,0.23958333333333334,0
12,0.44086021505376344,0.11891891891891893,0.02717391304347826,0.00546448087431694,0.0,0.0,0.0,0.0,0.19270833333333334,0
13,0.9794520547945206,0.9172413793103448,0.875,0.8321678321678322,0.7887323943661971,0.7446808510638298,0.7,0.6546762589928058,0.8333333333333334,1
14,0.9513888888888888,0.7972027972027972,0.676056338028169,0.5886524822695035,0.5214285714285715,0.45323741007194246,0.39855072463768115,0.35766423357664234,0.8211920529801324,1
15,0.9705882352941176,0.8579881656804734,0.75,0.6586826347305389,0.5783132530120482,0.503030303030303,0.4329268292682927,0.37423312883435583,0.7415730337078652,1
16,0.92,0.6756756756756757,0.5616438356164384,0.4722222222222222,0.39436619718309857,0.32857142857142857,0.2753623188405797,0.22058823529411764,0.725,1
17,0.8058823529411765,0.5502958579881657,0.4166666666666667,0.33532934131736525,0.2710843373493976,0.23030303030303031,0.1951219512195122,0.17177914110429449,0.36627906976744184,1
18,0.4411764705882353,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.30303030303030304,0
19,0.4888888888888889,0.06741573033707865,0.0,0.0,0.0,0.0,0.0,0.0,0.25555555555555554,0
20,0.9926739926739927,0.9852941176470589,0.981549815498155,0.9777777777777777,0.9739776951672863,0.9701492537313433,0.9662921348314607,0.9624060150375939,0.9929328621908127,1
21,0.813953488372093,0.6705882352941176,0.6428571428571429,0.6385542168674698,0.6341463414634146,0.6296296296296297,0.625,0.620253164556962,0.7586206896551724,1
22,0.6111111111111112,0.15492957746478872,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.32894736842105265,0
23,0.4126984126984127,0.11290322580645161,0.03278688524590164,0.0,0.0,0.0,0.0,0.0,0.2153846153846154,0
24,1.0,1.0,0.9888888888888889,0.9775280898876404,0.9659090909090909,0.9540229885057471,0.9418604651162791,0.9294117647058824,1.0,1
25,0.4626865671641791,0.07,0.010050251256281407,0.005050505050505051,0.0,0.0,0.0,0.0,0.16019417475728157,0
26,0.634020618556701,0.20207253886010362,0.07291666666666667,0.020942408376963352,0.005263157894736842,0.0,0.0,0.0,0.3121951219512195,1
27,0.5829383886255924,0.2904761904761905,0.20574162679425836,0.1346153846153846,0.08695652173913043,0.05339805825242718,0.02926829268292683,0.014705882352941176,0.36792452830188677,1
28,0.6379310344827587,0.42857142857142855,0.34347826086956523,0.3231441048034934,0.30701754385964913,0.29515418502202645,0.2831858407079646,0.27111111111111114,0.47520661157024796,1
29,0.581151832460733,0.14210526315789473,0.037037037037037035,0.005319148936170213,0.0,0.0,0.0,0.0,0.24324324324324326,0
30,0.42038216560509556,0.07692307692307693,0.012903225806451613,0.0,0.0,0.0,0.0,0.0,0.1870967741935484,0
31,0.5842105263157895,0.14285714285714285,0.010638297872340425,0.0,0.0,0.0,0.0,0.0,0.26903553299492383,0
32,0.6877637130801688,0.4067796610169492,0.24680851063829787,0.14102564102564102,0.07725321888412018,0.04741379310344827,0.025974025974025976,0.017391304347826087,0.40082644628099173,1
33,0.6706586826347305,0.3253012048192771,0.19393939393939394,0.1402439024390244,0.11042944785276074,0.08641975308641975,0.07453416149068323,0.0625,0.4010989010989011,1
